cust_id,customer,inv_no,inv_date,due_date,balance,b_0_30,b_31_60,b_61_90,b_91_120,b_over_120,credit_hold
C1001,Allegheny Property Management LLC,INV-253294,2025-12-01,2025-12-31,1960.81,1960.81,0.0,0.0,0.0,0.0,N
C1001,Allegheny Property Management LLC,INV-253390,2025-12-10,2026-01-09,4968.37,4968.37,0.0,0.0,0.0,0.0,N
C1001,Allegheny Property Management LLC,INV-253425,2025-12-15,2026-01-14,3517.58,3517.58,0.0,0.0,0.0,0.0,N
C1001,Allegheny Property Management LLC,INV-253529,2025-12-26,2026-01-25,23908.09,23908.09,0.0,0.0,0.0,0.0,N
C1002,Bayview Medical Center Inc.,INV-252343,2025-08-29,2025-10-13,4625.25,0.0,0.0,0.0,0.0,4625.25,N
C1002,Bayview Medical Center Inc.,INV-253068,2025-11-10,2025-12-25,9743.04,0.0,9743.04,0.0,0.0,0.0,N
C1002,Bayview Medical Center Inc.,INV-253099,2025-11-12,2025-12-27,10976.86,0.0,10976.86,0.0,0.0,0.0,N
C1002,Bayview Medical Center Inc.,INV-253192,2025-11-20,2026-01-04,10350.93,0.0,10350.93,0.0,0.0,0.0,N
C1002,Bayview Medical Center Inc.,INV-253272,2025-11-27,2026-01-11,4484.65,0.0,4484.65,0.0,0.0,0.0,N
C1002,Bayview Medical Center Inc.,INV-253273,2025-11-27,2026-01-11,12398.29,0.0,12398.29,0.0,0.0,0.0,N
C1002,Bayview Medical Center Inc.,INV-253282,2025-11-28,2026-01-12,12581.95,0.0,12581.95,0.0,0.0,0.0,N
C1002,Bayview Medical Center Inc.,INV-253283,2025-11-28,2026-01-12,5344.95,0.0,5344.95,0.0,0.0,0.0,N
C1002,Bayview Medical Center Inc.,INV-253295,2025-12-01,2026-01-15,26331.17,26331.17,0.0,0.0,0.0,0.0,N
C1002,Bayview Medical Center Inc.,INV-253306,2025-12-02,2026-01-16,13756.23,13756.23,0.0,0.0,0.0,0.0,N
C1002,Bayview Medical Center Inc.,INV-253307,2025-12-02,2026-01-16,23011.73,23011.73,0.0,0.0,0.0,0.0,N
C1002,Bayview Medical Center Inc.,INV-253332,2025-12-04,2026-01-18,32442.28,32442.28,0.0,0.0,0.0,0.0,N
C1002,Bayview Medical Center Inc.,INV-253333,2025-12-04,2026-01-18,15731.89,15731.89,0.0,0.0,0.0,0.0,N
C1002,Bayview Medical Center Inc.,INV-253346,2025-12-05,2026-01-19,3212.35,3212.35,0.0,0.0,0.0,0.0,N
C1002,Bayview Medical Center Inc.,INV-253347,2025-12-05,2026-01-19,11321.82,11321.82,0.0,0.0,0.0,0.0,N
C1002,Bayview Medical Center Inc.,INV-253348,2025-12-05,2026-01-19,47517.68,47517.68,0.0,0.0,0.0,0.0,N
C1002,Bayview Medical Center Inc.,INV-253361,2025-12-08,2026-01-22,10516.01,10516.01,0.0,0.0,0.0,0.0,N
