receipt_date,cust_id,customer,ref_inv,amount
2026-01-02,C1026,Parma Community College,INV-253107,8344.9
2026-01-02,C1003,Cardinal Hospitality Group LLC,INV-253128,8368.16
2026-01-02,C1022,Medina Auto Group,INV-253197,9207.23
2026-01-02,C1026,Parma Community College,INV-253220,2226.47
2026-01-02,C1038,Westlake Commercial Cleaning Company,INV-253227,13212.54
2026-01-02,C1010,Forest City Hotels and Resorts,INV-253247,23775.07
2026-01-02,C1003,Cardinal Hospitality Group LLC,INV-253262,40610.78
2026-01-02,C1003,Cardinal Hospitality Group LLC,INV-253284,3164.61
2026-01-02,C1040,Youngstown Metal Works Inc.,INV-253303,1355.71
2026-01-02,C1023,Midwest Stadium Services Inc.,see remit,6130.86
2026-01-02,C1025,Oak Ridge Office Parks,see remit,2390.53
2026-01-02,C1028,Portage Cold Storage Company,INV-253328,30601.24
2026-01-02,C1030,Sandusky Marine and Supply,INV-253341,22643.94
2026-01-02,C1035,Twinsburg Industrial Park LLC,INV-253369,8013.49
2026-01-02,C1024,North Coast Restaurants LLC,INV-253382,14583.1
2026-01-05,C1002,Bayview Medical Center Inc.,INV-253068,9743.04
2026-01-05,C1002,Bayview Medical Center Inc.,INV-253099,10976.86
2026-01-05,C1033,Summit Healthcare Group Inc.,INV-253108,27066.97
2026-01-05,C1026,Parma Community College,INV-253123,5905.97
2026-01-05,C1033,Summit Healthcare Group Inc.,INV-253141,7505.25
2026-01-05,C1015,Heritage Food Services Inc.,INV-253177,5948.1
2026-01-05,C1026,Parma Community College,INV-253181,8820.32
2026-01-05,C1002,Bayview Medical Center Inc.,INV-253192,10350.93
2026-01-05,C1018,Kent Valley Hospital,INV-253216,5959.02
2026-01-05,C1009,Fairlawn Public Schools,INV-253230,2587.12
2026-01-05,C1038,Westlake Commercial Cleaning Company,INV-253242,7136.91
2026-01-05,C1008,Evergreen Senior Living Inc.,INV-253246,14345.73
2026-01-05,C1026,Parma Community College,INV-253254,9540.35
2026-01-05,C1040,Youngstown Metal Works Inc.,see remit,13625.81
2026-01-05,C1002,Bayview Medical Center Inc.,INV-253272,4484.65
2026-01-05,C1009,Fairlawn Public Schools,INV-253275,3515.22
