inv_no,inv_date,ship_date,cust_id,customer,amount,memo,month
INV-250001,2025-01-01,2025-01-01,C1004,Cedar Point Facility Services,8468.39,,2025-01
INV-250002,2025-01-01,2025-01-01,C1004,Cedar Point Facility Services,6925.65,PO 40778,2025-01
INV-250003,2025-01-01,2025-01-01,C1012,Great Lakes Logistics Inc.,5923.48,,2025-01
INV-250004,2025-01-01,2025-01-01,C1022,Medina Auto Group,12750.83,PO 41880,2025-01
INV-250005,2025-01-01,2025-01-01,C1026,Parma Community College,7116.57,Standing order,2025-01
INV-250006,2025-01-01,2025-01-01,C1029,Riverside Fitness Clubs LLC,8130.01,,2025-01
INV-250007,2025-01-01,2025-01-01,C1035,Twinsburg Industrial Park LLC,2529.16,,2025-01
INV-250008,2025-01-01,2025-01-01,C1040,Youngstown Metal Works Inc.,35856.79,Standing order,2025-01
INV-250009,2025-01-01,2025-01-01,C1040,Youngstown Metal Works Inc.,3273.26,PO 49092,2025-01
INV-250010,2025-01-02,2025-01-02,C1001,Allegheny Property Management LLC,3358.86,PO 46601,2025-01
INV-250011,2025-01-02,2025-01-02,C1001,Allegheny Property Management LLC,17243.37,,2025-01
INV-250012,2025-01-02,2025-01-01,C1011,Garfield Industrial Company,11797.78,,2025-01
INV-250013,2025-01-02,2025-01-02,C1021,Maple Heights Facilities LLC,4615.92,,2025-01
INV-250014,2025-01-02,2025-01-02,C1026,Parma Community College,52843.47,Standing order,2025-01
INV-250015,2025-01-02,2025-01-02,C1028,Portage Cold Storage Company,4405.27,Standing order,2025-01
INV-250016,2025-01-02,2025-01-02,C1030,Sandusky Marine and Supply,8716.22,,2025-01
INV-250017,2025-01-02,2025-01-02,C1035,Twinsburg Industrial Park LLC,4687.75,,2025-01
INV-250018,2025-01-02,2025-01-02,C1036,University Circle Services,3907.48,Standing order,2025-01
INV-250019,2025-01-03,2025-01-03,C1001,Allegheny Property Management LLC,4219.54,,2025-01
INV-250020,2025-01-03,2025-01-03,C1007,Eastgate Office Partners,3909.88,PO 42887,2025-01
INV-250021,2025-01-03,2025-01-03,C1010,Forest City Hotels and Resorts,4045.05,,2025-01
INV-250022,2025-01-03,2025-01-03,C1011,Garfield Industrial Company,6711.77,,2025-01
INV-250023,2025-01-03,2025-01-02,C1012,Great Lakes Logistics Inc.,27132.12,,2025-01
INV-250024,2025-01-03,2025-01-03,C1021,Maple Heights Facilities LLC,6484.35,Standing order,2025-01
INV-250025,2025-01-03,2025-01-03,C1024,North Coast Restaurants LLC,10998.15,,2025-01
INV-250026,2025-01-03,2025-01-03,C1030,Sandusky Marine and Supply,4171.1,Standing order,2025-01
INV-250027,2025-01-03,2025-01-03,C1033,Summit Healthcare Group Inc.,2665.59,,2025-01
INV-250028,2025-01-03,2025-01-03,C1035,Twinsburg Industrial Park LLC,3543.33,,2025-01
INV-250029,2025-01-03,2025-01-03,C1035,Twinsburg Industrial Park LLC,8715.18,,2025-01
INV-250030,2025-01-03,2025-01-03,C1040,Youngstown Metal Works Inc.,6535.52,,2025-01
INV-250031,2025-01-06,2025-01-05,C1004,Cedar Point Facility Services,14254.52,,2025-01
INV-250032,2025-01-06,2025-01-06,C1008,Evergreen Senior Living Inc.,4656.34,,2025-01
INV-250033,2025-01-06,2025-01-05,C1010,Forest City Hotels and Resorts,6729.72,Standing order,2025-01
INV-250034,2025-01-06,2025-01-06,C1012,Great Lakes Logistics Inc.,9418.79,PO 41766,2025-01
INV-250035,2025-01-06,2025-01-06,C1012,Great Lakes Logistics Inc.,8699.1,Standing order,2025-01
INV-250036,2025-01-06,2025-01-06,C1012,Great Lakes Logistics Inc.,5228.45,,2025-01
INV-250037,2025-01-06,2025-01-06,C1015,Heritage Food Services Inc.,5782.09,,2025-01
INV-250038,2025-01-06,2025-01-06,C1022,Medina Auto Group,25244.47,,2025-01
INV-250039,2025-01-06,2025-01-05,C1023,Midwest Stadium Services Inc.,17207.49,,2025-01
INV-250040,2025-01-06,2025-01-06,C1033,Summit Healthcare Group Inc.,6890.36,Standing order,2025-01
INV-250041,2025-01-06,2025-01-06,C1033,Summit Healthcare Group Inc.,4245.76,,2025-01
INV-250042,2025-01-06,2025-01-06,C1038,Westlake Commercial Cleaning Company,18713.04,,2025-01
INV-250043,2025-01-06,2025-01-06,C1038,Westlake Commercial Cleaning Company,21787.29,,2025-01
INV-250044,2025-01-06,2025-01-06,C1040,Youngstown Metal Works Inc.,2440.39,,2025-01
INV-250045,2025-01-07,2025-01-06,C1005,Clearwater Janitorial Company,8948.18,,2025-01
INV-250046,2025-01-07,2025-01-07,C1007,Eastgate Office Partners,6457.8,,2025-01
INV-250047,2025-01-07,2025-01-06,C1011,Garfield Industrial Company,11772.19,PO 47119,2025-01
INV-250048,2025-01-07,2025-01-07,C1012,Great Lakes Logistics Inc.,3815.19,Standing order,2025-01
INV-250049,2025-01-07,2025-01-07,C1015,Heritage Food Services Inc.,7471.4,PO 49704,2025-01
INV-250050,2025-01-07,2025-01-06,C1018,Kent Valley Hospital,8689.98,,2025-01
INV-250051,2025-01-07,2025-01-07,C1020,Lorain Distribution Company,8879.44,,2025-01
INV-250052,2025-01-07,2025-01-07,C1023,Midwest Stadium Services Inc.,1518.13,PO 47385,2025-01
INV-250053,2025-01-07,2025-01-07,C1033,Summit Healthcare Group Inc.,4145.42,PO 48973,2025-01
INV-250054,2025-01-07,2025-01-07,C1035,Twinsburg Industrial Park LLC,2271.59,,2025-01
INV-250055,2025-01-07,2025-01-06,C1038,Westlake Commercial Cleaning Company,11445.3,,2025-01
INV-250056,2025-01-07,2025-01-07,C1040,Youngstown Metal Works Inc.,4700.11,,2025-01
INV-250057,2025-01-08,2025-01-07,C1004,Cedar Point Facility Services,11863.48,,2025-01
INV-250058,2025-01-08,2025-01-08,C1012,Great Lakes Logistics Inc.,1657.74,Standing order,2025-01
INV-250059,2025-01-08,2025-01-08,C1023,Midwest Stadium Services Inc.,4784.95,,2025-01
INV-250060,2025-01-08,2025-01-08,C1028,Portage Cold Storage Company,4472.41,,2025-01
INV-250061,2025-01-09,2025-01-08,C1002,Bayview Medical Center Inc.,14659.49,,2025-01
INV-250062,2025-01-09,2025-01-09,C1011,Garfield Industrial Company,4471.64,,2025-01
INV-250063,2025-01-09,2025-01-09,C1012,Great Lakes Logistics Inc.,10583.11,,2025-01
