shipment_id,inv_no,ship_date,carrier,tracking_bol
SHP-687912,INV-253499,2025-12-22,Midstate Freight Lines,BOL-9220631
SHP-486442,INV-253500,2025-12-22,Lake Erie Parcel,BOL-5184181
SHP-489940,INV-253501,2025-12-22,Lake Erie Parcel,BOL-9319085
SHP-859579,INV-253503,2025-12-22,Lake Erie Parcel,BOL-2142016
SHP-388204,INV-253507,2025-12-22,Lake Erie Parcel,BOL-7165215
SHP-998048,INV-253508,2025-12-22,Buckeye Regional Logistics,BOL-3088460
SHP-420323,INV-253498,2025-12-23,Lake Erie Parcel,BOL-1705212
SHP-658815,INV-253502,2025-12-23,Midstate Freight Lines,BOL-2811564
SHP-954292,INV-253504,2025-12-23,Buckeye Regional Logistics,BOL-3201559
SHP-111015,INV-253505,2025-12-23,Buckeye Regional Logistics,BOL-1354648
SHP-363468,INV-253506,2025-12-23,Midstate Freight Lines,BOL-5312220
SHP-668445,INV-253509,2025-12-23,Lake Erie Parcel,BOL-4280660
SHP-167275,INV-253512,2025-12-23,Lake Erie Parcel,BOL-3270711
SHP-699383,INV-253513,2025-12-23,Midstate Freight Lines,BOL-2263870
SHP-279725,INV-253516,2025-12-23,Midstate Freight Lines,BOL-7322563
SHP-193819,INV-253510,2025-12-24,Lake Erie Parcel,BOL-2433336
SHP-932499,INV-253511,2025-12-24,Midstate Freight Lines,BOL-7236769
SHP-898641,INV-253514,2025-12-24,Midstate Freight Lines,BOL-4494641
SHP-690234,INV-253515,2025-12-24,Midstate Freight Lines,BOL-9302054
SHP-407729,INV-253517,2025-12-24,Lake Erie Parcel,BOL-6875160
SHP-507754,INV-253518,2025-12-24,Midstate Freight Lines,BOL-8352547
SHP-357169,INV-253519,2025-12-24,Buckeye Regional Logistics,BOL-1923219
SHP-898133,INV-253521,2025-12-24,Midstate Freight Lines,BOL-6409106
SHP-517332,INV-253525,2025-12-24,Lake Erie Parcel,BOL-7124871
SHP-864924,INV-253526,2025-12-24,Lake Erie Parcel,BOL-3041230
SHP-531971,INV-253520,2025-12-25,Midstate Freight Lines,BOL-5442140
SHP-149423,INV-253522,2025-12-25,Midstate Freight Lines,BOL-3422984
SHP-119305,INV-253523,2025-12-25,Midstate Freight Lines,BOL-8144411
SHP-263755,INV-253524,2025-12-25,Lake Erie Parcel,BOL-8093069
SHP-594059,INV-253527,2025-12-25,Midstate Freight Lines,BOL-1718640
SHP-420306,INV-253528,2025-12-25,Midstate Freight Lines,BOL-6061289
SHP-758812,INV-253532,2025-12-25,Lake Erie Parcel,BOL-5681178
SHP-246846,INV-253534,2025-12-25,Buckeye Regional Logistics,BOL-7885389
SHP-830783,INV-253529,2025-12-26,Lake Erie Parcel,BOL-4387859
SHP-235977,INV-253530,2025-12-26,Lake Erie Parcel,BOL-6964968
SHP-455665,INV-253531,2025-12-26,Lake Erie Parcel,BOL-3530496
SHP-970090,INV-253533,2025-12-26,Lake Erie Parcel,BOL-1810856
SHP-485733,INV-253535,2025-12-26,Midstate Freight Lines,BOL-4925170
SHP-649347,INV-253536,2025-12-26,Lake Erie Parcel,BOL-6099569
SHP-763367,INV-253537,2025-12-26,Buckeye Regional Logistics,BOL-4734606
SHP-218214,INV-253538,2025-12-26,Midstate Freight Lines,BOL-9232526
SHP-619630,INV-253539,2025-12-26,Buckeye Regional Logistics,BOL-3057217
SHP-297245,INV-253540,2025-12-26,Buckeye Regional Logistics,BOL-2926986
SHP-357909,INV-253543,2025-12-28,Midstate Freight Lines,BOL-1968573
SHP-812179,INV-253544,2025-12-28,Midstate Freight Lines,BOL-8067106
SHP-736832,INV-253547,2025-12-28,Midstate Freight Lines,BOL-8920162
SHP-895895,INV-253541,2025-12-29,Midstate Freight Lines,BOL-5322411
SHP-864720,INV-253545,2025-12-29,Lake Erie Parcel,BOL-2894207
SHP-267635,INV-253546,2025-12-29,Lake Erie Parcel,BOL-9099611
SHP-827535,INV-253548,2025-12-29,Midstate Freight Lines,BOL-1110004
SHP-296560,INV-253549,2025-12-29,Buckeye Regional Logistics,BOL-9122086
SHP-687835,INV-253550,2025-12-29,Buckeye Regional Logistics,BOL-5314792
SHP-679348,INV-253551,2025-12-29,Buckeye Regional Logistics,BOL-5151482
SHP-805094,INV-253552,2025-12-29,Buckeye Regional Logistics,BOL-5198853
SHP-878529,INV-253553,2025-12-29,Buckeye Regional Logistics,BOL-6386970
SHP-826773,INV-253555,2025-12-29,Buckeye Regional Logistics,BOL-8198520
SHP-921825,INV-253554,2025-12-30,Lake Erie Parcel,BOL-4849634
SHP-809961,INV-253556,2025-12-30,Lake Erie Parcel,BOL-7367234
SHP-651498,INV-253557,2025-12-30,Buckeye Regional Logistics,BOL-3142999
SHP-264729,INV-253558,2025-12-30,Lake Erie Parcel,BOL-6809189
SHP-924238,INV-253560,2025-12-30,Midstate Freight Lines,BOL-9035326
SHP-767613,INV-253561,2025-12-30,Midstate Freight Lines,BOL-3131881
SHP-654245,INV-253562,2025-12-30,Buckeye Regional Logistics,BOL-1541793
SHP-338999,INV-253563,2025-12-30,Buckeye Regional Logistics,BOL-9125945
SHP-816458,INV-253566,2025-12-30,Midstate Freight Lines,BOL-2531873
