Vendor,Invoice,Invoice Date,Due,Open Amount
Summit Trash Liner Co.,SUM-67115,2025-12-18,2026-01-17,43271.26
Lakeside Chemical Company,LAK-86273,2025-12-19,2026-01-18,47001.96
Keller Dispenser Systems,KEL-50970,2025-11-27,2025-12-27,33046.34
Nova Tissue Mills,NOV-79395,2025-11-19,2025-12-19,62417.68
Summit Trash Liner Co.,SUM-31770,2025-12-05,2026-01-04,100165.92
CleanCo Manufacturing,CLE-52617,2025-11-26,2025-12-26,95382.93
Summit Trash Liner Co.,SUM-66797,2025-12-26,2026-01-25,15571.52
Summit Trash Liner Co.,SUM-44033,2025-12-23,2026-01-22,19518.3
Buckeye Chemical Supply,BUC-26372,2025-11-26,2025-12-26,36900.63
Keller Dispenser Systems,KEL-72646,2025-12-05,2026-01-04,43808.43
CleanCo Manufacturing,CLE-56384,2025-12-23,2026-01-22,24091.42
CleanCo Manufacturing,CLE-44393,2025-12-29,2026-01-28,52115.66
Lakeside Chemical Company,LAK-58630,2025-12-02,2026-01-01,49825.93
Great Lakes Packaging LLC,GRE-98193,2025-11-24,2025-12-24,27982.9
Lakeside Chemical Company,LAK-96175,2025-11-28,2025-12-28,81690.43
Great Lakes Packaging LLC,GRE-42752,2025-12-17,2026-01-16,33424.36
CleanCo Manufacturing,CLE-59399,2025-11-28,2025-12-28,14329.12
Nova Tissue Mills,NOV-20508,2025-12-05,2026-01-04,61148.57
Nova Tissue Mills,NOV-28711,2025-12-29,2026-01-28,22759.85
Summit Trash Liner Co.,SUM-23344,2025-12-05,2026-01-04,77438.72
Summit Trash Liner Co.,SUM-23889,2025-11-21,2025-12-21,74154.97
Buckeye Chemical Supply,BUC-93469,2025-11-24,2025-12-24,50582.99
Keller Dispenser Systems,KEL-52436,2025-12-31,2026-01-30,92061.55
Summit Trash Liner Co.,SUM-30851,2025-12-29,2026-01-28,18332.79
Nova Tissue Mills,NOV-59853,2025-11-21,2025-12-21,28224.01
CleanCo Manufacturing,CLE-22607,2025-12-17,2026-01-16,33627.42
Great Lakes Packaging LLC,GRE-13334,2025-12-31,2026-01-30,31547.83
Buckeye Chemical Supply,BUC-24366,2025-11-26,2025-12-26,95126.19
Keller Dispenser Systems,KEL-61352,2025-12-17,2026-01-16,52363.75
Summit Trash Liner Co.,SUM-86463,2025-11-28,2025-12-28,43714.07
Nova Tissue Mills,NOV-48426,2025-12-09,2026-01-08,63729.08
Great Lakes Packaging LLC,GRE-86550,2025-12-22,2026-01-21,91664.51
Buckeye Chemical Supply,BUC-32555,2025-12-12,2026-01-11,25903.28
Hilltop Plastics Company,HIL-28876,2025-12-12,2026-01-11,61954.76
Summit Trash Liner Co.,SUM-89023,2025-11-28,2025-12-28,25911.59
CleanCo Manufacturing,CLE-98318,2025-11-28,2025-12-28,39706.4
Lakeside Chemical Company,LAK-88603,2025-12-16,2026-01-15,61201.08
CleanCo Manufacturing,CLE-79213,2025-12-25,2026-01-24,18402.55
Hilltop Plastics Company,HIL-69604,2025-12-05,2026-01-04,34293.46
Great Lakes Packaging LLC,GRE-13075,2025-12-26,2026-01-25,12201.17
Nova Tissue Mills,NOV-69297,2025-12-08,2026-01-07,20461.05
Nova Tissue Mills,NOV-35178,2025-11-25,2025-12-25,51502.97
Great Lakes Packaging LLC,GRE-21692,2025-12-24,2026-01-23,21127.88
Summit Trash Liner Co.,SUM-16970,2025-11-28,2025-12-28,59058.87
Apex Paper Products Inc.,APE-62799,2025-11-28,2025-12-28,27223.58
Buckeye Chemical Supply,BUC-43933,2025-12-03,2026-01-02,72906.72
Midstate Freight Lines,MID-13790,2025-11-21,2025-12-21,68320.17
Ohio Valley Power and Light,OHI-22430,2025-12-18,2026-01-17,16207.72
Wellman Staffing Group,WEL-99736,2025-12-26,2026-01-25,26974.47
Lakeview Waste Hauling,LAK-48901,2025-12-31,2026-01-30,2878.03
