Date Rec'd,Payer,Ref Inv,Amt
01/02/26,Parma Community College,INV-253107,"8,344.90"
01/02/26,Cardinal Hospitality Group LLC  ,INV-253128,"8,368.16"
01/02/26,Medina Auto Group,INV-253197,"9,207.23"
01/02/26,Parma Community College,INV-253220,"2,226.47"
01/02/26,Westlake Commercial Cleaning Company,INV-253227,"13,212.54"
01/02/26,Forest City Hotels and Resorts,INV-253247,"23,775.07"
01/02/26,Cardinal Hospitality Group LLC,INV-253262,"40,610.78"
01/02/26,Cardinal Hospitality Group LLC,INV-253284,"3,164.61"
01/02/26,Youngstown Metal Works Inc.,INV-253303,"1,355.71"
01/02/26,Midwest Stadium Services Inc.,see remit,"6,130.86"
01/02/26,Oak Ridge Office Parks,see remit,"2,390.53"
01/02/26,PORTAGE COLD STORAGE COMPANY,INV-253328,"30,601.24"
01/02/26,Sandusky Marine and Supply,INV-253341,"22,643.94"
01/02/26,Twinsburg Industrial Park LLC,INV-253369,"8,013.49"
01/02/26,North Coast Restaurants LLC,INV-253382,"14,583.10"
01/05/26,Bayview Medical Center Inc.,INV-253068,"9,743.04"
01/05/26,Bayview Medical Center Inc.,INV-253099,"10,976.86"
01/05/26,Summit Healthcare Group Inc.,INV-253108,"27,066.97"
01/05/26,Parma Community College,INV-253123,"5,905.97"
01/05/26,Summit Healthcare Group Inc.,INV-253141,"7,505.25"
01/05/26,Heritage Food Services Inc.,INV-253177,"5,948.10"
01/05/26,Parma Community College,INV-253181,"8,820.32"
01/05/26,Bayview Medical Center Inc.,INV-253192,"10,350.93"
01/05/26,Kent Valley Hospital,INV-253216,"5,959.02"
01/05/26,Fairlawn Public Schools,INV-253230,"2,587.12"
01/05/26,Westlake Commercial Cleaning Company,INV-253242,"7,136.91"
01/05/26,Evergreen Senior Living Inc.,INV-253246,"14,345.73"
01/05/26,Parma Community College,INV-253254,"9,540.35"
01/05/26,Youngstown Metal Works Inc.,see remit,"13,625.81"
01/05/26,Bayview Medical Center Inc.,INV-253272,"4,484.65"
01/05/26,Fairlawn Public Schools,INV-253275,"3,515.22"
01/05/26,Westlake Commercial Cleaning Company,INV-253300,"11,772.26"
01/05/26,Youngstown Metal Works Inc.,INV-253304,"6,692.27"
01/05/26,Twinsburg Industrial Park LLC,INV-253343,"7,408.86"
01/05/26,Evergreen Senior Living Inc.,INV-253349,"12,948.84"
01/05/26,Garfield Industrial Company,INV-253350,"11,351.93"
01/05/26,Oak Ridge Office Parks,INV-253355,"23,647.25"
