Cust ID,Customer Name,Terms,Credit Limit
C1001,Allegheny Property Management LLC,Net 30,75000
C1002,Bayview Medical Center Inc.,Net 45,150000
C1003,Cardinal Hospitality Group LLC,Net 30,150000
C1004,Cedar Point Facility Services,Net 30,75000
C1005,Clearwater Janitorial Company,Net 30,75000
C1006,Delmar Janitorial Services LLC,Net 30,100000
C1007,Eastgate Office Partners,Net 30,150000
C1008,Evergreen Senior Living Inc.,Net 45,100000
C1009,Fairlawn Public Schools,Net 45,50000
C1010,Forest City Hotels and Resorts,Net 30,100000
C1011,Garfield Industrial Company,Net 30,75000
C1012,Great Lakes Logistics Inc.,Net 30,150000
C1013,Hamilton County Services,Net 45,250000
C1014,Harborview Apartments LLC,Net 30,50000
C1015,Heritage Food Services Inc.,Net 30,150000
C1016,Highland Manufacturing Company,Net 30,50000
C1017,Ironwood Property Services,Net 30,75000
C1018,Kent Valley Hospital,Net 45,50000
C1019,Lakeshore Cleaning Services Inc.,Net 30,100000
C1020,Lorain Distribution Company,Net 30,75000
C1021,Maple Heights Facilities LLC,Net 30,100000
C1022,Medina Auto Group,Net 30,150000
C1023,Midwest Stadium Services Inc.,Net 30,150000
C1024,North Coast Restaurants LLC,Net 30,50000
C1025,Oak Ridge Office Parks,Net 30,100000
C1026,Parma Community College,Net 45,100000
C1027,Pinnacle Building Services Inc.,Net 30,250000
C1028,Portage Cold Storage Company,Net 30,50000
C1029,Riverside Fitness Clubs LLC,Net 30,150000
C1030,Sandusky Marine and Supply,Net 30,150000
C1031,Shaker Square Retail Partners,Net 30,50000
C1032,Stark County Services,Net 45,250000
C1033,Summit Healthcare Group Inc.,Net 45,100000
C1034,Tri-State Warehouse Company,Net 30,75000
C1035,Twinsburg Industrial Park LLC,Net 30,100000
C1036,University Circle Services,Net 45,50000
C1037,Valley View Hotels Inc.,Net 30,250000
C1038,Westlake Commercial Cleaning Company,Net 30,75000
C1039,Willoughby Tech Center,Net 30,100000
C1040,Youngstown Metal Works Inc.,Net 30,75000
