Inv #,Inv Date,Ship Dt,Customer,Amount,Memo
INV-250001,2025-01-01,2025-01-01,Cedar Point Facility Services,8468.39,
INV-250002,01-Jan-25,01-Jan-25,Cedar Point Facility Services,6925.65,PO 40778
INV-250003,2025-01-01,2025-01-01,Great Lakes Logistics Inc.,"$5,923.48",
INV-250004,01/01/2025,01/01/2025,Medina Auto Group,"$12,750.83",PO 41880
INV-250005,2025-01-01,2025-01-01,Parma Community College,7116.57,Standing order
INV-250006,01/01/2025,01/01/2025,Riverside Fitness Clubs LLC,"$8,130.01",
INV-250007,2025-01-01,2025-01-01,Twinsburg Industrial Park LLC,"$2,529.16",
INV-250008,2025-01-01,2025-01-01,Youngstown Metal Works Inc.,35856.79,Standing order
INV-250009,01/01/2025,01/01/2025,Youngstown Metal Works Inc.,3273.26,PO 49092
INV-250010,01/02/2025,01/02/2025,Allegheny Property Management LLC,"$3,358.86",PO 46601
INV-250011,02-Jan-25,02-Jan-25,Allegheny Property Management LLC,17243.37,
INV-250012,02-Jan-25,01-Jan-25,Garfield Industrial Company,11797.78,
INV-250013,01/02/2025,01/02/2025,Maple Heights Facilities LLC,"$4,615.92",
INV-250014,01/02/2025,01/02/2025,Parma Community College,52843.47,Standing order
INV-250015,2025-01-02,2025-01-02,Portage Cold Storage Company,4405.27,Standing order
INV-250016,2025-01-02,2025-01-02,SANDUSKY MARINE AND SUPPLY,8716.22,
INV-250017,01/02/2025,01/02/2025,Twinsburg Industrial Park LLC,4687.75,
INV-250018,01/02/2025,01/02/2025,University Circle Services,3907.48,Standing order
INV-250019,2025-01-03,2025-01-03,Allegheny Property Management LLC,4219.54,
INV-250020,03-Jan-25,03-Jan-25,Eastgate Office Partners,3909.88,PO 42887
INV-250021,01/03/2025,01/03/2025,Forest City Hotels and Resorts,"$4,045.05",
INV-250022,01/03/2025,01/03/2025,Garfield Industrial Company,6711.77,
INV-250023,01/03/2025,01/02/2025,Great Lakes Logistics Inc.,27132.12,
INV-250024,03-Jan-25,03-Jan-25,Maple Heights Facilities LLC,"$6,484.35",Standing order
INV-250025,2025-01-03,2025-01-03,North Coast Restaurants LLC,10998.15,
INV-250026,01/03/2025,01/03/2025,Sandusky Marine & Supply,4171.10,Standing order
INV-250027,03-Jan-25,03-Jan-25,Summit Healthcare Group Inc.,2665.59,
INV-250028,01/03/2025,01/03/2025,Twinsburg Industrial Park LLC  ,"$3,543.33",
INV-250029,03-Jan-25,03-Jan-25,Twinsburg Industrial Park LLC,8715.18,
INV-250030,01/03/2025,01/03/2025,Youngstown Metal Works Inc.  ,"$6,535.52",
INV-250031,06-Jan-25,05-Jan-25,Cedar Point Facility Services,14254.52,
INV-250032,2025-01-06,2025-01-06,Evergreen Senior Living Inc.,4656.34,
INV-250033,01/06/2025,01/05/2025,Forest City Hotels and Resorts,"$6,729.72",Standing order
INV-250034,01/06/2025,01/06/2025,Great Lakes Logistics Inc.,9418.79,PO 41766
INV-250035,06-Jan-25,06-Jan-25,Great Lakes Logistics Inc.,8699.10,Standing order
INV-250036,06-Jan-25,06-Jan-25,Great Lakes Logistics Inc.,5228.45,
INV-250037,06-Jan-25,06-Jan-25,Heritage Food Services Inc.,5782.09,
INV-250038,01/06/2025,01/06/2025,Medina Auto Group,"$25,244.47",
INV-250039,06-Jan-25,05-Jan-25,Midwest Stadium Services Inc.,"$17,207.49",
INV-250040,01/06/2025,01/06/2025,Summit Healthcare Group Inc.,6890.36,Standing order
INV-250041,2025-01-06,2025-01-06,Summit Healthcare Group Inc.,4245.76,
INV-250042,2025-01-06,2025-01-06,WESTLAKE COMMERCIAL CLEANING COMPANY,18713.04,
INV-250043,06-Jan-25,06-Jan-25,Westlake Commercial Cleaning Company,"$21,787.29",
INV-250044,01/06/2025,01/06/2025,Youngstown Metal Works Inc.,"$2,440.39",
INV-250045,01/07/2025,01/06/2025,Clearwater Janitorial Company,8948.18,
INV-250046,01/07/2025,01/07/2025,Eastgate Office Partners,6457.80,
INV-250047,01/07/2025,01/06/2025,Garfield Industrial Company,11772.19,PO 47119
INV-250048,01/07/2025,01/07/2025,Great Lakes Logistics Inc.,3815.19,Standing order
INV-250049,01/07/2025,01/07/2025,Heritage Food Services Inc.,7471.40,PO 49704
INV-250050,01/07/2025,01/06/2025,Kent Valley Hospital,8689.98,
INV-250051,01/07/2025,01/07/2025,Lorain Distribution Company,8879.44,
INV-250052,2025-01-07,2025-01-07,Midwest Stadium Services Inc.,"$1,518.13",PO 47385
INV-250053,01/07/2025,01/07/2025,Summit Healthcare Group Inc.,"$4,145.42",PO 48973
INV-250054,07-Jan-25,07-Jan-25,Twinsburg Industrial Park LLC,2271.59,
INV-250055,2025-01-07,2025-01-06,Westlake Commercial Cleaning Company,11445.30,
INV-250056,2025-01-07,2025-01-07,Youngstown Metal Works Inc.,"$4,700.11",
INV-250057,08-Jan-25,07-Jan-25,Cedar Point Facility Services,11863.48,
INV-250058,2025-01-08,2025-01-08,Great Lakes Logistics Inc.  ,1657.74,Standing order
INV-250059,08-Jan-25,08-Jan-25,Midwest Stadium Services Inc.  ,4784.95,
INV-250060,01/08/2025,01/08/2025,Portage Cold Storage Company,"$4,472.41",
INV-250061,01/09/2025,01/08/2025,Bayview Medical Center Inc.,"$14,659.49",
INV-250062,09-Jan-25,09-Jan-25,Garfield Industrial Company,4471.64,
INV-250063,01/09/2025,01/09/2025,Great Lakes Logistics Inc.,10583.11,
INV-250064,01/09/2025,01/09/2025,Lakeshore Cleaning Services Inc.  ,3817.40,Standing order
INV-250065,2025-01-09,2025-01-08,Medina Auto Group,3293.29,
INV-250066,09-Jan-25,09-Jan-25,Medina Auto Group  ,17648.28,
INV-250067,01/09/2025,01/09/2025,Midwest Stadium Services Inc.,12396.75,
INV-250068,01/09/2025,01/08/2025,Portage Cold Storage Company,"$3,328.24",PO 43552
INV-250069,09-Jan-25,08-Jan-25,Sandusky Marine and Supply,8103.86,PO 40153
INV-250070,09-Jan-25,08-Jan-25,Summit Healthcare Group Inc.,9239.03,
INV-250071,01/09/2025,01/08/2025,Westlake Commercial Cleaning Company,"$18,398.18",Standing order
INV-250072,09-Jan-25,08-Jan-25,Youngstown Metal Works Inc.,29457.71,
INV-250073,10-Jan-25,09-Jan-25,Bayview Medical Center Inc.,"$22,808.07",
INV-250074,2025-01-10,2025-01-09,Cardinal Hospitality Group LLC,6430.98,
INV-250075,01/10/2025,01/10/2025,GREAT LAKES LOGISTICS INC.,5464.63,Standing order
INV-250076,10-Jan-25,10-Jan-25,Lorain Distribution Company,9945.12,PO 41171
INV-250077,2025-01-10,2025-01-09,Medina Auto Group,"$16,147.91",Standing order
INV-250078,01/10/2025,01/10/2025,Parma Community College  ,"$5,613.54",Standing order
INV-250079,2025-01-10,2025-01-10,Riverside Fitness Clubs LLC,"$12,220.15",Standing order
INV-250080,01/10/2025,01/10/2025,Sandusky Marine and Supply,17372.25,
INV-250081,10-Jan-25,10-Jan-25,Summit Healthcare Group Inc.,25812.31,
INV-250082,10-Jan-25,09-Jan-25,TWINSBURG INDUSTRIAL PARK LLC,4987.71,
INV-250083,10-Jan-25,10-Jan-25,Twinsburg Industrial Park LLC,"$4,367.99",
INV-250084,2025-01-10,2025-01-10,Youngstown Metal Works Inc.,16946.03,Standing order
INV-250085,01/10/2025,01/09/2025,Youngstown Metal Works Inc.  ,"$3,795.79",
INV-250086,13-Jan-25,12-Jan-25,Cardinal Hospitality Group LLC,"$2,624.22",Standing order
INV-250087,13-Jan-25,12-Jan-25,Garfield Industrial Company,8579.60,
INV-250088,13-Jan-25,13-Jan-25,Garfield Industrial Company,10606.51,Standing order
INV-250089,13-Jan-25,13-Jan-25,MEDINA AUTO GROUP,2122.28,PO 42546
INV-250090,01/13/2025,01/12/2025,Medina Auto Group,5220.72,
INV-250091,2025-01-13,2025-01-12,Oak Ridge Office Parks,24054.40,PO 45329
INV-250092,2025-01-13,2025-01-13,Oak Ridge Office Parks,1631.28,
INV-250093,13-Jan-25,13-Jan-25,Parma Community College,"$16,909.70",
INV-250094,13-Jan-25,13-Jan-25,Pinnacle Building Services Inc.,"$3,928.81",
INV-250095,13-Jan-25,12-Jan-25,Portage Cold Storage Company,8911.69,
INV-250096,13-Jan-25,13-Jan-25,Riverside Fitness Clubs LLC,8586.61,PO 44436
INV-250097,13-Jan-25,13-Jan-25,Twinsburg Industrial Park LLC,7252.45,
INV-250098,01/13/2025,01/13/2025,University Circle Services,"$9,544.87",
INV-250099,2025-01-13,2025-01-13,University Circle Services,2745.28,
INV-250100,01/14/2025,01/14/2025,Allegheny Property Management LLC,10172.50,PO 46328
INV-250101,01/14/2025,01/14/2025,Cardinal Hospitality Group LLC,"$4,387.90",
INV-250102,2025-01-14,2025-01-14,Evergreen Senior Living Inc.  ,"$5,605.22",
INV-250103,01/14/2025,01/13/2025,Garfield Industrial Company,6382.53,PO 48606
INV-250104,2025-01-14,2025-01-14,Garfield Industrial Co.,19894.71,PO 49888
INV-250105,14-Jan-25,14-Jan-25,Garfield Industrial Company,46708.51,Standing order
INV-250106,2025-01-14,2025-01-14,Oak Ridge Office Parks,5150.87,Standing order
INV-250107,01/14/2025,01/14/2025,Pinnacle Building Services Inc.,12808.91,
INV-250108,01/14/2025,01/14/2025,Portage Cold Storage Company,4090.73,
INV-250109,14-Jan-25,13-Jan-25,Shaker Square Retail Partners,10460.10,Standing order
INV-250110,01/15/2025,01/15/2025,Allegheny Property Management LLC,2423.79,
INV-250111,15-Jan-25,15-Jan-25,Bayview Medical Center Inc.,10826.04,
INV-250112,2025-01-15,2025-01-14,Cardinal Hospitality Group LLC,7909.99,Standing order
INV-250113,15-Jan-25,15-Jan-25,Cedar Point Facility Svcs,7137.28,PO 44261
INV-250114,15-Jan-25,15-Jan-25,Medina Auto Group,"$10,856.95",
INV-250115,01/15/2025,01/15/2025,Oak Ridge Office Parks,11112.45,Standing order
INV-250116,2025-01-15,2025-01-15,Parma Community College,15978.23,
INV-250117,01/15/2025,01/15/2025,Parma Community College,"$11,355.84",Standing order
INV-250118,15-Jan-25,15-Jan-25,Summit Healthcare Group Inc.,"$13,354.82",PO 47700
INV-250119,2025-01-15,2025-01-15,Tri-State Warehouse Company,"$20,269.28",PO 47397
INV-250120,01/15/2025,01/14/2025,Twinsburg Industrial Park LLC,"$4,649.66",
INV-250121,2025-01-15,2025-01-15,Twinsburg Industrial Park LLC,2202.12,Standing order
INV-250122,2025-01-15,2025-01-15,Twinsburg Industrial Park LLC,2650.18,
INV-250123,15-Jan-25,15-Jan-25,Twinsburg Industrial Park LLC,"$2,280.61",
INV-250124,15-Jan-25,15-Jan-25,Westlake Commercial Cleaning Company,"$2,897.23",
INV-250125,15-Jan-25,14-Jan-25,Youngstown Metal Works Inc.,24072.31,
INV-250126,01/15/2025,01/15/2025,Youngstown Metal Works Inc.,13867.33,
INV-250127,15-Jan-25,14-Jan-25,Youngstown Metal Works Inc.,7339.67,Standing order
INV-250128,01/16/2025,01/16/2025,Cedar Point Facility Svcs,"$24,627.54",PO 41510
INV-250129,2025-01-16,2025-01-15,Evergreen Senior Living Inc.,"$30,376.96",Standing order
INV-250130,2025-01-16,2025-01-16,Ironwood Property Services,12134.09,
INV-250131,01/16/2025,01/16/2025,Midwest Stadium Services Inc.,"$18,233.48",PO 47767
INV-250132,16-Jan-25,16-Jan-25,Parma Community College,7174.39,PO 48523
INV-250133,16-Jan-25,16-Jan-25,Riverside Fitness Clubs LLC,2401.28,
INV-250134,01/16/2025,01/16/2025,Summit Healthcare Group Inc.,21278.10,
INV-250135,01/16/2025,01/16/2025,Twinsburg Industrial Park LLC,6859.45,PO 47811
INV-250136,2025-01-16,2025-01-15,Westlake Commercial Cleaning Company,4412.52,
INV-250137,2025-01-16,2025-01-16,Youngstown Metal Works Inc.,"$3,678.97",
INV-250138,17-Jan-25,17-Jan-25,Allegheny Property Management LLC,45314.81,
INV-250139,2025-01-17,2025-01-16,Bayview Medical Center Inc.,"$4,609.96",PO 44153
INV-250140,01/17/2025,01/17/2025,Bayview Medical Center Inc.,8928.98,
INV-250141,17-Jan-25,17-Jan-25,Evergreen Senior Living Inc.,13073.14,
INV-250142,01/17/2025,01/17/2025,Great Lakes Logistics Inc.,14668.54,Standing order
INV-250143,17-Jan-25,17-Jan-25,Great Lakes Logistics Inc.,35392.58,PO 44100
INV-250144,2025-01-17,2025-01-17,Great Lakes Logistics Inc.,"$8,310.05",
INV-250145,17-Jan-25,17-Jan-25,Heritage Food Services Inc.,"$8,027.60",
INV-250146,2025-01-17,2025-01-17,Midwest Stadium Services Inc.  ,12243.94,Standing order
INV-250147,17-Jan-25,17-Jan-25,Midwest Stadium Services Inc.,"$7,393.15",
INV-250148,17-Jan-25,17-Jan-25,Riverside Fitness Clubs LLC,7833.29,PO 44022
INV-250149,17-Jan-25,17-Jan-25,Tri-State Warehouse Co.,"$5,775.88",PO 46750
INV-250150,20-Jan-25,20-Jan-25,Bayview Medical Center Inc.,9035.53,
INV-250151,20-Jan-25,20-Jan-25,Evergreen Senior Living Inc.,"$14,997.53",PO 41367
INV-250152,20-Jan-25,20-Jan-25,Garfield Industrial Company,4844.66,
INV-250153,2025-01-20,2025-01-20,Great Lakes Logistics Inc.,"$8,093.26",
INV-250154,20-Jan-25,20-Jan-25,Ironwood Property Services,"$11,066.95",
INV-250155,2025-01-20,2025-01-19,Ironwood Property Services,3886.49,PO 44968
INV-250156,01/20/2025,01/20/2025,Parma Community College,3545.83,Standing order
INV-250157,20-Jan-25,19-Jan-25,Riverside Fitness Clubs LLC,"$5,433.98",Standing order
INV-250158,20-Jan-25,20-Jan-25,Twinsburg Industrial Park LLC,29327.17,PO 43524
INV-250159,2025-01-20,2025-01-19,Twinsburg Industrial Park,6500.76,Standing order
INV-250160,2025-01-20,2025-01-20,Twinsburg Industrial Park LLC,12412.57,
INV-250161,20-Jan-25,19-Jan-25,University Circle Services,"$8,561.39",Standing order
INV-250162,01/20/2025,01/20/2025,University Circle Services,"$1,643.74",PO 41769
INV-250163,20-Jan-25,20-Jan-25,University Circle Services,"$49,587.31",
